Lambda,Q,Pi_S,Pi_P,Pi_S_minus_Pi_P
1.0,0.001,0.10421320470221801,0.13218382105354554,-0.027970616351327526
1.0,0.1,0.10262585694244376,0.13010746529968784,-0.027481608357244072
1.0,0.2,0.0981062674136348,0.12422420659482396,-0.026117939181189154
1.0,0.3,0.09120557534300806,0.11538069730592684,-0.02417512196291878
1.0,0.4,0.08261581728555392,0.10456981999557817,-0.021954002710024248
1.0,0.5,0.07304001250652688,0.09269709644669359,-0.019657083940166714
2.0,0.001,0.5358505729799592,0.5800303342142249,-0.0441797612342657
2.0,0.1,0.5331752650575972,0.5769482850810634,-0.04377302002346628
2.0,0.2,0.5254573614977847,0.567955815376343,-0.04249845387855833
2.0,0.3,0.5132898252082813,0.5538520750493279,-0.040562249841046616
2.0,0.4,0.4974110370415718,0.535680151554621,-0.03826911451304921
2.0,0.5,0.47853761775507675,0.5144111897885482,-0.03587357203347141
