mu_eff2,tau_eff,band,kstar_over_Lam,w_static,class
-0.02,-0.01,1,0.07071067811865475,1.6601793692109306,long-wave
-0.02,-0.05,1,0.15811388300841897,-0.004308988274093448,intermediate
-0.02,-0.2,1,0.31622776601683794,-0.2858187692437985,microscopic
-0.02,-0.8,1,0.6324555320336759,-0.44678523198775066,microscopic
-0.02,0.1,0,nan,nan,phase-sep/k=0
0.0,-0.01,1,0.07071067811865475,-0.3339553116842312,long-wave
0.0,-0.05,1,0.15811388300841897,-0.34299539351667263,intermediate
0.0,-0.2,1,0.31622776601683794,-0.370501772073054,microscopic
0.0,-0.8,1,0.6324555320336759,-0.4607151393708214,microscopic
0.0,0.1,0,nan,nan,flat
0.02,-0.01,0,0.07071067811865475,nan,flat
0.02,-0.05,0,0.15811388300841897,nan,flat
0.02,-0.2,0,0.31622776601683794,nan,flat
0.02,-0.8,1,0.6324555320336759,-0.47395934133096584,microscopic
0.02,0.1,0,nan,nan,flat
