ix,iy,u
0,0,0.13596473857530217
0,4,-0.22075798581138845
0,8,0.17448690735649652
0,12,0.048768397888590734
0,16,-0.19427073753530638
0,20,-0.10050916068721617
0,24,-0.011668085544884108
0,28,-0.0939995786497061
0,32,-0.22127676712636718
0,36,-0.17262066296191392
0,40,0.005082822036662257
0,44,0.10879815404868286
0,48,0.08499911611165006
0,52,-0.022479456331083475
0,56,-0.12833352950229265
0,60,-0.2090418624891497
0,64,-0.23007210066527617
0,68,-0.08139947460021611
0,72,0.21920937022717213
0,76,-0.06125383586702694
0,80,0.022879961184532893
0,84,0.19277619112221178
0,88,-0.2083425591393458
0,92,0.1742440327231631
0,96,0.1290043341764338
0,100,-0.23419483993834614
0,104,0.17374042679802798
0,108,0.09093603355401067
0,112,-0.22064157734277867
0,116,-0.19085486771820132
0,120,-0.2108062513522495
0,124,0.06771033806845705
4,0,0.18478183780087634
4,4,-0.1731161867366614
4,8,-0.06306949075669405
4,12,0.20198888757535863
4,16,0.1965736850456961
4,20,0.21507949831557754
4,24,0.20183741664451918
4,28,0.22056408906441766
4,32,0.17995703583505174
4,36,-0.05820109451494515
4,40,-0.1833154154368119
4,44,-0.23054233082891284
4,48,-0.2202508475461069
4,52,-0.14265272097124843
4,56,-0.057575725413202626
4,60,0.032131724100824
4,64,0.06589769079890428
4,68,-0.21335946533427186
4,72,0.002079047075289678
4,76,0.22293486273764648
4,80,0.1714936888519495
4,84,-0.012895096828268143
4,88,-0.22219311778345774
4,92,-0.11822395271709228
4,96,-0.16898771515351363
4,100,-0.1820088307720167
4,104,0.1843139477985013
4,108,-0.05327315033089937
4,112,-0.12732682151223537
4,116,0.19526858407330527
4,120,0.19501194296051466
4,124,0.18723360704790215
8,0,0.07337330220856413
8,4,0.12536279688037189
8,8,-0.24343315391514492
8,12,0.06168767018380803
8,16,0.13232481042172545
8,20,-0.18033106441951996
8,24,-0.21578794075485064
8,28,-0.23378927272142458
8,32,0.0508122840021728
8,36,0.22988206587165594
8,40,0.20038518908543618
8,44,0.16604921006741963
8,48,0.19267424200878008
8,52,0.22889877571608372
8,56,0.1903827129696882
8,60,0.1834825864071818
8,64,0.225328956543376
8,68,-0.1705326090665835
8,72,0.006409905234263609
8,76,0.15903207708946168
8,80,-0.2050992122753664
8,84,-0.16715720572931617
8,88,0.004145689307935796
8,92,-0.057265989088189695
8,96,0.00942586254925086
8,100,0.18074429990053614
8,104,0.22438670458542218
8,108,-0.08835453096037543
8,112,-0.19938055642703212
8,116,0.11515678093585051
8,120,0.044091893534859
8,124,-0.21934865880279142
12,0,0.15180781094114906
12,4,0.189074077722776
12,8,-0.20502868960616444
12,12,0.1272900915642175
12,16,0.049961946674652646
12,20,-0.20252589530343965
12,24,0.1051036151763302
12,28,-0.009157797406460041
12,32,0.1613878473476329
12,36,0.04120025445896404
12,40,-0.151715295355901
12,44,0.1911339296377419
12,48,0.025069769497667687
12,52,-0.1916061743422351
12,56,-0.22923236855427434
12,60,-0.2256249711871181
12,64,-0.1628552480984448
12,68,-0.1907637520450308
12,72,0.19596816165039954
12,76,-0.018250957267403847
12,80,-0.17727394775798686
12,84,0.20317525156370198
12,88,0.17857479400224488
12,92,0.20493461071043273
12,96,0.16917168515337952
12,100,-0.10322971105247265
12,104,0.06319977878756922
12,108,0.21540712770744974
12,112,-0.05835330570554297
12,116,-0.21263211288190115
12,120,-0.20792055185222288
12,124,-0.10544442858704957
16,0,0.10720136582920853
16,4,-0.11534115158690374
16,8,-0.22290935803028103
16,12,0.11149205381868899
16,16,0.11596709691352139
16,20,-0.20995625525132594
16,24,0.16375408633252295
16,28,0.217900060687109
16,32,0.06865923419990769
16,36,-0.215070641580123
16,40,-0.15656527810198967
16,44,0.1979766137251452
16,48,-0.1741772752080041
16,52,-0.053119019507601554
16,56,0.17381550371471935
16,60,0.08007189435292254
16,64,-0.12436130019425677
16,68,-0.13749307262167842
16,72,0.23877129114324513
16,76,-0.142254653099244
16,80,-0.04693642822193844
16,84,0.19697712362201064
16,88,-0.22523530780865805
16,92,-0.003471770047688255
16,96,0.18556621524177766
16,100,-0.15617546298164425
16,104,-0.22840107696394008
16,108,0.006807043443127575
16,112,0.23503001007900395
16,116,0.0393999795807984
16,120,-0.184929986095732
16,124,0.22080559392563182
20,0,-0.1734819112601104
20,4,-0.14419393877454575
20,8,-0.08282075954021444
20,12,-0.11095585623424918
20,16,0.217506544321304
20,20,-0.15136792585041334
20,24,-0.220935875302894
20,28,-0.18191829836933993
20,32,-0.19862061725136243
20,36,0.019458963798582807
20,40,0.17068821336324475
20,44,0.21322442034455477
20,48,-0.14086851149979132
20,52,-0.14149131578070773
20,56,0.09137363888421453
20,60,0.21644347318190565
20,64,0.04732020704627702
20,68,-0.20231207294221426
20,72,0.2223941931643505
20,76,-0.1167816531003936
20,80,-0.07986174063452636
20,84,0.22109446357689325
20,88,-0.1512671798728719
20,92,-0.19249268509729242
20,96,0.1131790976207948
20,100,0.2338448037783259
20,104,0.04822965890950396
20,108,-0.2388588399339051
20,112,0.05950575955418279
20,116,0.14485734767494352
20,120,-0.20828161192646133
20,124,0.18692778991625175
24,0,0.114468632661435
24,4,0.2024252882039886
24,8,0.11299329561765886
24,12,-0.23187190775914765
24,16,0.14005794875038444
24,20,0.1763676046377859
24,24,0.09969546864628297
24,28,-0.08038526018043031
24,32,-0.13018612556206946
24,36,0.222299800046551
24,40,0.03934969778750893
24,44,0.08641898679435157
24,48,0.19637114389751184
24,52,-0.08250943454272022
24,56,-0.2461193084331791
24,60,0.050649247307565426
24,64,0.13618281896844883
24,68,-0.23334616594138963
24,72,0.18102712695222767
24,76,0.02031822568292297
24,80,-0.20305324812780093
24,84,0.17926181735532476
24,88,0.19250914319320941
24,92,-0.06517754682659226
24,96,-0.23133511702482742
24,100,-0.08673556119497258
24,104,0.22188723152657003
24,108,0.006965295842919272
24,112,-0.22476112296329456
24,116,-0.19708018927467832
24,120,-0.15050326029209726
24,124,0.2280137863314865
28,0,-0.074756448592647
28,4,0.20821678521403442
28,8,-0.0973254009928332
28,12,-0.21554950222688352
28,16,0.17827096283696406
28,20,0.09458031622887754
28,24,0.08746868927861283
28,28,0.20301612414834755
28,32,-0.1607918348547453
28,36,-0.18707540303490436
28,40,-0.20194729709748266
28,44,-0.22088318778372984
28,48,0.055618236052967424
28,52,0.22916945568883285
28,56,-0.14983409534331543
28,60,-0.04564830021603902
28,64,0.21510943731540247
28,68,-0.2092029517482806
28,72,0.030924024121420916
28,76,0.1818676622773667
28,80,-0.20368496845311798
28,84,-0.17908038794292577
28,88,0.055679111565462194
28,92,0.22634374475173397
28,96,0.1394708679908277
28,100,-0.19505893077752093
28,104,-0.07500926576461506
28,108,0.23630203101515668
28,112,0.08934004906069429
28,116,-0.03235451361851842
28,120,0.1245928970033073
28,124,0.060943506851861576
32,0,-0.2479403717493069
32,4,0.10882049685748436
32,8,0.09949996305268588
32,12,0.12928398474113967
32,16,0.19598246345748757
32,20,-0.19324505587747343
32,24,-0.197571215003764
32,28,0.22112047972394105
32,32,-0.03690918831988246
32,36,-0.15757187138916268
32,40,0.21014442614626694
32,44,-0.027952831475359402
32,48,-0.20387262921000243
32,52,0.21364182888842298
32,56,-0.06229855010566407
32,60,-0.13108966363340577
32,64,0.2180334454112081
32,68,-0.19093880877643019
32,72,-0.1552194521965077
32,76,0.2053714606066122
32,80,0.1239529637662124
32,84,-0.05460202610814159
32,88,-0.2155148002195711
32,92,-0.21113265448778518
32,96,0.12618823638960575
32,100,0.13065189634128807
32,104,-0.21051822551993288
32,108,-0.0254957657201913
32,112,0.11870025434270146
32,116,0.17560922696862835
32,120,0.2194658893813692
32,124,-0.0033132653199307166
36,0,-0.1453139819302624
36,4,-0.023166302467296965
36,8,0.21576235729582183
36,12,0.04995552717055396
36,16,-0.16922420670930716
36,20,-0.16346630525417538
36,24,0.12428310331804246
36,28,0.2032264369645826
36,32,-0.17377035736557517
36,36,-0.08265296898058147
36,40,0.23763016196504277
36,44,-0.08752989379274105
36,48,-0.15639730732525547
36,52,0.23257948023472258
36,56,-0.09585230874219272
36,60,-0.15327241427679006
36,64,0.21268700185210532
36,68,0.13226423828177952
36,72,0.17936095443717975
36,76,0.16761114481602565
36,80,0.10007174770953145
36,84,0.21955178770910144
36,88,0.19153450617338447
36,92,-0.0416940224017424
36,96,0.1308065759757331
36,100,0.13388857626396988
36,104,-0.2067118160370385
36,108,-0.17343784859674352
36,112,-0.2149867867225116
36,116,-0.22183126563417946
36,120,0.03641558320379436
36,124,0.2541329412502489
40,0,-0.20109667255231026
40,4,0.046126599376760835
40,8,0.16013189507787384
40,12,-0.23159199509707354
40,16,-0.08958868578114243
40,20,0.2049767268866596
40,24,0.15011609402771253
40,28,-0.12966080518131679
40,32,-0.18415192399252361
40,36,0.16876146559340394
40,40,0.09905066757191376
40,44,-0.23774164190234168
40,48,0.08538982178525546
40,52,0.1676425888570009
40,56,-0.22207555325885275
40,60,0.04285743184171413
40,64,0.18100033439261753
40,68,0.015516143903743743
40,72,-0.02794864366792537
40,76,-0.19920629544064383
40,80,-0.2395905464238167
40,84,-0.2024366397896881
40,88,-0.015173487239080078
40,92,0.18145776376773498
40,96,0.14931462549825247
40,100,-0.18514372966894532
40,104,-0.07497860064609593
40,108,0.2228281206273564
40,112,0.1914919809466956
40,116,-0.05530699365277966
40,120,-0.234627677335137
40,124,-0.10460173305316961
44,0,-0.19124034868741516
44,4,-0.034104137760419484
44,8,0.2226834516674749
44,12,-0.16946692233755392
44,16,-0.016989826045685205
44,20,0.21284853703321777
44,24,-0.20485886893375263
44,28,-0.20162352516006016
44,32,0.1597657660650734
44,36,0.16938113845548353
44,40,-0.16820658957368972
44,44,-0.08580598164347936
44,48,0.2362108836821178
44,52,-0.10112107946639141
44,56,-0.16271388409607043
44,60,0.22773424680098664
44,64,-0.061642846594828375
44,68,-0.21777690086231755
44,72,-0.13954808633144206
44,76,-0.006978408795906735
44,80,0.15850857797111942
44,84,0.04421197984826157
44,88,-0.15197755156729553
44,92,-0.22625087114624118
44,96,-0.2346722214669099
44,100,-0.11906454700249877
44,104,0.2117363675966196
44,108,0.03213849207835953
44,112,0.005332515510033525
44,116,0.22197470433382585
44,120,0.09570558028096532
44,124,0.0009800180442505746
48,0,0.03712263040448048
48,4,-0.22211826637790424
48,8,0.19320830714005993
48,12,0.0037839592020004753
48,16,-0.23952015464688137
48,20,0.16374087591390704
48,24,0.05981902993389193
48,28,0.12657638537160643
48,32,0.1867757166721647
48,36,-0.20097845411968357
48,40,-0.21169635498348577
48,44,0.1790249251705931
48,48,0.06835141579191295
48,52,-0.23174192211415387
48,56,0.11740139169176238
48,60,0.1680776364240082
48,64,-0.19710340557604708
48,68,0.019767356116870777
48,72,0.24625176065469362
48,76,0.18088887612375804
48,80,0.034456243896791985
48,84,0.15906745378302029
48,88,0.21624120334542005
48,92,0.10224796688405777
48,96,0.06848757384010251
48,100,0.2287427985527392
48,104,0.09592307602796885
48,108,-0.23534882595455192
48,112,-0.08566341041780301
48,116,0.15292437767508965
48,120,0.03362186191689653
48,124,0.22980117787498092
52,0,0.21974461986303886
52,4,-0.1839279464777212
52,8,-0.03566837791639102
52,12,0.20302574363531645
52,16,-0.02592405017387714
52,20,0.1909399583696685
52,24,0.12169347747105184
52,28,0.06013305565487703
52,32,0.1909731580466278
52,36,0.09460083610553194
52,40,0.11337964052860815
52,44,0.20750448484017728
52,48,-0.17913973256772764
52,52,-0.058309457058920294
52,56,0.22380992073101214
52,60,-0.13960118097626498
52,64,-0.17028752526908458
52,68,-0.1811295078472671
52,72,0.02094633047059978
52,76,0.14482634906795583
52,80,-0.22993250265069134
52,84,-0.2488442459760615
52,88,-0.17656839094526267
52,92,0.18415796724755665
52,96,0.17419004651955738
52,100,-0.0731515714362573
52,104,-0.22912414808509043
52,108,-0.07420268114448039
52,112,0.19131931974218297
52,116,0.04646461283438147
52,120,-0.2647757411261118
52,124,-0.018218193317786804
56,0,0.15925769855687194
56,4,0.08689402643367242
56,8,-0.23127585973495246
56,12,0.07098523632407315
56,16,0.22567707112434932
56,20,-0.035959850981807207
56,24,-0.22573759851657133
56,28,-0.2198251654225516
56,32,-0.10261370628622944
56,36,0.1001695411659189
56,40,0.06599929818514028
56,44,0.18786514032323082
56,48,-0.20856645829982248
56,52,0.0543923158719474
56,56,0.15069384561227128
56,60,-0.2367768071797505
56,64,0.17516639584152033
56,68,0.032884138368972346
56,72,-0.22600464045447918
56,76,0.17826337685243793
56,80,0.19364037986134508
56,84,0.12776859510260458
56,88,0.15130743390747758
56,92,0.20823414719809846
56,96,-0.12768536099115296
56,100,-0.19658221911024845
56,104,0.10431662812832501
56,108,0.22095175451629276
56,112,0.13033211906463096
56,116,0.20909566487281844
56,120,0.004176340612409436
56,124,-0.22067077765049503
60,0,-0.1095738076290346
60,4,0.23846827408327606
60,8,-0.11220579423267685
60,12,-0.1532378205422124
60,16,0.22382332677378683
60,20,-0.14969599823874608
60,24,-0.048674311675109716
60,28,0.2017401375692527
60,32,-0.1654783166041169
60,36,-0.22775752242554526
60,40,-0.16371482740995355
60,44,0.20289735552309449
60,48,-0.14115793313375785
60,52,-0.07180212525447988
60,56,0.21666759294359234
60,60,-0.19815245193281422
60,64,-0.010685669262402872
60,68,0.2290598687164387
60,72,-0.13754336140461382
60,76,-0.141782068613466
60,80,0.05260243326889642
60,84,0.029941728759230443
60,88,-0.041780840235265015
60,92,-0.17366033222036373
60,96,-0.21978077010035743
60,100,0.12842417327437533
60,104,0.17547779542705758
60,108,-0.1344717751924076
60,112,-0.24017808869901977
60,116,-0.027405919886089147
60,120,0.23456919572021323
60,124,-0.14111169035116686
64,0,-0.2334517150872793
64,4,0.17076410222094734
64,8,0.04087344301359336
64,12,-0.244164914281164
64,16,0.20810613235027248
64,20,-0.1202056882203522
64,24,-0.03323996921855915
64,28,0.2108338598136485
64,32,-0.1997476857842564
64,36,0.026296693376096247
64,40,0.18740332611214328
64,44,0.20233589232429522
64,48,0.07243415677476256
64,52,-0.22241280552877746
64,56,0.17663468638135776
64,60,0.06707645287122144
64,64,-0.23763588375209932
64,68,0.10042473710921158
64,72,0.15802447039300738
64,76,-0.1980274856914016
64,80,-0.208306722960222
64,84,-0.17160493692928602
64,88,-0.09753797825232231
64,92,0.029135793079419325
64,96,0.1419101485587117
64,100,0.20957875922887212
64,104,-0.16307904980446125
64,108,-0.10370778884750179
64,112,0.03258189375366845
64,116,-0.22470128766814912
64,120,0.1402933609111019
64,124,0.0964351442938953
68,0,-0.19688859152617663
68,4,-0.02097753154594638
68,8,0.22848846992161392
68,12,0.07792667254780036
68,16,0.2067201847664848
68,20,-0.17978693514147898
68,24,0.01934676144600503
68,28,0.1271554139328867
68,32,-0.2236039623061833
68,36,0.22622996578522037
68,40,0.019749548823005406
68,44,-0.1633091848388678
68,48,0.20927490245895686
68,52,-0.15852077299928957
68,56,-0.1030559414695871
68,60,0.23673392098085122
68,64,-0.06615140431251307
68,68,-0.18711950541356537
68,72,0.19477796445410345
68,76,0.16722161769962537
68,80,0.20853907104324154
68,84,0.2362851238377319
68,88,0.2108345872944664
68,92,0.10933007691133013
68,96,0.02824826535725121
68,100,0.18459570753588947
68,104,-0.1988571174436201
68,108,0.028368070264612313
68,112,0.2422984870285763
68,116,-0.17677541240552552
68,120,-0.06908780601093358
68,124,0.22088678638065773
72,0,0.01898456917017803
72,4,-0.23590761278014682
72,8,-0.10373178726407033
72,12,0.10193765139200772
72,16,0.20167552072882422
72,20,-0.21083484486750653
72,24,0.05216843212699945
72,28,0.14224205427218006
72,32,-0.23490390200402478
72,36,0.07153045479792264
72,40,-0.15297637956025478
72,44,-0.11247768103167637
72,48,0.21923856219585086
72,52,0.09748696833084533
72,56,-0.22879374238263242
72,60,0.04593131820876377
72,64,0.17843948328093387
72,68,-0.2243345313457971
72,72,0.10743517794716179
72,76,0.15498607307916704
72,80,-0.07837515007764559
72,84,-0.18399767656876256
72,88,-0.2274351457005524
72,92,-0.2292722773518569
72,96,-0.1638504893763621
72,100,0.1965613676159444
72,104,-0.0893335723172686
72,108,-0.1859011446691965
72,112,0.20598545943343655
72,116,0.039963630367095895
72,120,-0.19791718553722987
72,124,0.21414690673428083
76,0,0.22484048761925227
76,4,0.12725853607877163
76,8,-0.1118292214042953
76,12,-0.19363120236244313
76,16,0.21601872542477696
76,20,-0.12454204902472901
76,24,-0.09588065728575741
76,28,0.22982845205559466
76,32,-0.027803654585988533
76,36,-0.21357428189854294
76,40,-0.12623798698867233
76,44,0.2141905891539544
76,48,0.016669707778134837
76,52,0.19003011180867913
76,56,-0.025828894491774695
76,60,-0.16744702127010802
76,64,0.22928415371578711
76,68,-0.1326803376577869
76,72,-0.15809680256094805
76,76,-0.19175714280825912
76,80,-0.16779884456306762
76,84,0.018205057383296364
76,88,0.15356407681095927
76,92,0.22261139554769643
76,96,0.2042262247742124
76,100,0.19707776273137811
76,104,0.14486259391401857
76,108,-0.20945010522789514
76,112,0.05643394293337479
76,116,0.11894257881109775
76,120,-0.21696436531326316
76,124,0.0077405719384460725
80,0,-0.14599455833841812
80,4,0.14973623893995117
80,8,0.15341962601631812
80,12,-0.19722468074031985
80,16,0.17777674255159234
80,20,0.07981844256491931
80,24,-0.2380041467525064
80,28,0.022045081044602247
80,32,0.26575243564366513
80,36,-0.08751974258897656
80,40,-0.04222633536216109
80,44,0.19691266438058463
80,48,-0.2545230221528184
80,52,0.08189639196966919
80,56,0.094413141188776
80,60,-0.20877655366889036
80,64,0.21208390915708997
80,68,0.029555915101385083
80,72,-0.2200508286444155
80,76,-0.010088454967508043
80,80,0.22689777449487203
80,84,0.18023596084193966
80,88,0.015832709149091434
80,92,-0.11981444712403277
80,96,-0.18966432994531143
80,100,-0.16812827155147703
80,104,0.21786997051778212
80,108,-0.030026245114549183
80,112,-0.2154041259410959
80,116,-0.17043227946275563
80,120,-0.12640357991745374
80,124,-0.20955858439104819
84,0,-0.11783224887170021
84,4,-0.2359228405094941
84,8,-0.19460737720330817
84,12,-0.22622693021763696
84,16,-0.04478656870779585
84,20,0.23175034100846584
84,24,0.006338477190717784
84,28,-0.23487163923140764
84,32,-0.05025442533970943
84,36,-0.17332061163318674
84,40,0.03164052020714386
84,44,0.1577906978557926
84,48,-0.2295001279399336
84,52,0.1420071197715918
84,56,0.06573762715279387
84,60,-0.23887890722018756
84,64,0.050413383448185516
84,68,0.21105779184493811
84,72,0.14823780806898867
84,76,0.21138758175186792
84,80,0.0019174746981233184
84,84,-0.22325048530429567
84,88,-0.19948524498469597
84,92,-0.031078643532023137
84,96,0.06986873578384296
84,100,-0.2085186404595769
84,104,0.15311568107956355
84,108,-0.013391815037809271
84,112,-0.18702609332428566
84,116,0.15452730109371904
84,120,0.2390059332522112
84,124,0.16828240482281503
88,0,0.23732965685823407
88,4,0.16300504143325092
88,8,0.14578762950495772
88,12,0.04909882775162147
88,16,-0.2223921239400745
88,20,-0.05288066085336032
88,24,0.22985364710405287
88,28,0.10007305473638954
88,32,-0.12443179330485574
88,36,-0.22145797214183602
88,40,0.11409430570220289
88,44,0.11897181910195088
88,48,-0.24266349221815334
88,52,0.12317495565864317
88,56,0.17307574718118054
88,60,-0.09464714208974292
88,64,-0.2133707062531874
88,68,-0.13459630679998796
88,72,0.19047500960402575
88,76,0.06076120091493468
88,80,-0.23183141814159855
88,84,-0.00611608866993639
88,88,0.2146589842295206
88,92,0.20732966002355296
88,96,0.10022773543577732
88,100,-0.21002412128620115
88,104,0.08284471508252343
88,108,0.20756554541705713
88,112,0.1932565487836577
88,116,0.1308122489352759
88,120,-0.11741407405246712
88,124,0.057773303271362875
92,0,-0.08454483399843389
92,4,-0.00442419138724133
92,8,0.04914160873263575
92,12,0.2204475204633205
92,16,0.08651077383433584
92,20,-0.220965975766501
92,24,-0.13302992374841743
92,28,0.15294706387847382
92,32,0.19971429440836297
92,36,-0.1930474808545731
92,40,0.02789313188767971
92,44,0.23255152068910562
92,48,-0.14131508993333625
92,52,-0.05551170009453356
92,56,0.14629661741782574
92,60,0.21529223745839157
92,64,0.11154488483602207
92,68,-0.22588102577473126
92,72,0.15296485804476898
92,76,-0.01995756352163275
92,80,-0.2287676745500273
92,84,0.19573651787151244
92,88,0.07566548458883217
92,92,-0.21557818252673194
92,96,-0.18051196063849023
92,100,-0.11066910660321902
92,104,-0.14951330372256075
92,108,0.0270818689131246
92,112,0.0014072602381907592
92,116,-0.1889376697954378
92,120,-0.13568757908528747
92,124,-0.20001360094618387
96,0,-0.20634257189887
96,4,-0.12185500303484502
96,8,-0.23393938406992631
96,12,-0.11534628292375464
96,16,0.20329827918311985
96,20,0.15175387671385676
96,24,-0.1533497796972883
96,28,-0.16699025505352477
96,32,0.22786791608995613
96,36,-0.0930516324926729
96,40,-0.13376941773593742
96,44,0.10407809901355111
96,48,-0.13616987619319715
96,52,-0.21208081817402186
96,56,-0.2508617184513111
96,60,-0.04605200062388268
96,64,0.177277953708846
96,68,-0.23168284433002065
96,72,0.07987870197996197
96,76,0.1201483586153655
96,80,0.04563068505272594
96,84,0.23130356701575155
96,88,-0.1490063002085718
96,92,-0.13347195479102292
96,96,0.2039843031519193
96,100,0.18590243617241023
96,104,-0.20459389565976077
96,108,-0.15946188174596937
96,112,-0.16006324641210137
96,116,-0.15592446483275973
96,120,0.25011039578621475
96,124,0.0009450059284395879
100,0,-0.09787684361806248
100,4,0.26108177364746626
100,8,0.10394851527975592
100,12,-0.19905856427808988
100,16,-0.14125921639001332
100,20,0.21398298030406454
100,24,0.030632410001401676
100,28,-0.1646973142237967
100,32,0.22801970928697646
100,36,-0.12117870480965912
100,40,-0.16676814720993266
100,44,-0.18500439301822685
100,48,-0.14077165029116767
100,52,0.10175079055096159
100,56,0.09178241159846337
100,60,0.14849731071394967
100,64,0.10446768232297833
100,68,-0.2106492259759643
100,72,0.14232042254972155
100,76,0.18819098596697545
100,80,0.10786818861878716
100,84,-0.031618139409489876
100,88,-0.22736669325643483
100,92,0.1381010766763181
100,96,0.15271203809373898
100,100,-0.1706833083853817
100,104,-0.14228510479110465
100,108,0.21727857163467404
100,112,0.1194763787009564
100,116,-0.2166663687822015
100,120,0.18051335712695937
100,124,-0.027948261870279614
104,0,-0.19499657250814648
104,4,0.007351245987116797
104,8,0.1880379019334314
104,12,0.15746928536531377
104,16,-0.17590123296708587
104,20,-0.18666187708170065
104,24,-0.19145149266073425
104,28,0.012149579174336837
104,32,0.1718581070883914
104,36,-0.22408433828583224
104,40,0.14478784689103505
104,44,0.2442043678588889
104,48,0.22626014750579404
104,52,0.16846312409987135
104,56,0.07229524432229961
104,60,0.05783552884846539
104,64,0.1751800483653777
104,68,0.1917765186282202
104,72,0.12904803114554464
104,76,-0.16952204078816197
104,80,-0.22513465660344953
104,84,-0.17836300609377534
104,88,-0.03404888043390214
104,92,0.21416944058750487
104,96,-0.1348649984796318
104,100,-0.15615080460684316
104,104,0.18291626931414753
104,108,0.14734239308099573
104,112,-0.13571143409707245
104,116,-0.1861692350056431
104,120,0.195087849401256
104,124,-0.006345098267453712
108,0,-0.16279726747220005
108,4,-0.19368977490760605
108,8,-0.18723769827114103
108,12,0.1406953628658312
108,16,0.2172421197474439
108,20,0.05313837170365528
108,24,-0.19809247343463218
108,28,0.02421425028858734
108,32,0.19965622163922644
108,36,-0.1861573917627134
108,40,-0.1763772352088116
108,44,-0.09474679755899856
108,48,-0.14941360705169443
108,52,-0.23358214168429836
108,56,-0.20308731486436807
108,60,-0.23532307226191862
108,64,-0.048339877887732606
108,68,0.17671949711947527
108,72,-0.23067830281323903
108,76,-0.14390153359550173
108,80,0.18330804677154308
108,84,0.22455040042764662
108,88,0.2060044963814156
108,92,0.16636743416892588
108,96,-0.22477028826740852
108,100,0.05458976290242934
108,104,0.18917286031759242
108,108,-0.1935841669458647
108,112,-0.16786958742354394
108,116,0.18808617427473914
108,120,0.2153171630286207
108,124,-0.1492115794216733
112,0,0.1659300558482989
112,4,0.18914222183204252
112,8,-0.09328665236908396
112,12,-0.22201831625723317
112,16,-0.03313324579434142
112,20,0.21423966168857736
112,24,-0.005999008752737442
112,28,-0.19321610264913758
112,32,0.16362344280740732
112,36,0.20839212834120352
112,40,0.03430245994732806
112,44,-0.0861849661074074
112,48,-0.05460385848092263
112,52,0.08320886890998566
112,56,0.23509082103125634
112,60,0.027956547848304175
112,64,-0.11451645909589828
112,68,0.23821969072623847
112,72,0.053821098906726414
112,76,0.15543486788749578
112,80,0.09104924956034681
112,84,-0.146699427159102
112,88,-0.11205154516911323
112,92,0.2087230881040704
112,96,-0.16933416229628293
112,100,-0.020092894431653283
112,104,0.1830077042633243
112,108,-0.12468681622739108
112,112,-0.2006483877425172
112,116,-0.020706260480727212
112,120,-0.05828268814402295
112,124,-0.19658116692830355
116,0,0.1984500694051611
116,4,0.0405598515978189
116,8,0.2255476626093649
116,12,0.022278659896035266
116,16,-0.24385765552236363
116,20,-0.019306802011622354
116,24,0.16107023904968681
116,28,-0.16976174034331085
116,32,-0.2199168491191526
116,36,-0.05559461485439581
116,40,0.14157466366277208
116,44,0.21687217472723994
116,48,0.20960592916329285
116,52,0.12373920168268074
116,56,0.018544430799023362
116,60,-0.1381044809853955
116,64,-0.22039531773697557
116,68,-0.05356698825977664
116,72,0.09246044039834604
116,76,0.21599070858386527
116,80,-0.019669983142969194
116,84,-0.1971952057645269
116,88,-0.043079521957750125
116,92,0.2221755823527595
116,96,-0.13756028337762594
116,100,-0.10803732914276293
116,104,0.2211663882701028
116,108,0.19854884649290364
116,112,0.1251631254238531
116,116,-0.1284144255912026
116,120,-0.22539389741308433
116,124,-0.005602619796340762
120,0,0.15845789126547488
120,4,-0.24590974228227327
120,8,-0.01721369378123422
120,12,0.21036926981815324
120,16,0.19983773621160822
120,20,0.19768357387150773
120,24,0.2040240302200344
120,28,0.21719500533557773
120,32,0.08963067597098594
120,36,-0.13363744505790487
120,40,-0.23390855361490326
120,44,-0.2240203907992931
120,48,-0.2252506320716394
120,52,-0.2346118993343432
120,56,-0.19175969933883458
120,60,-0.05012088202637752
120,64,0.026049477805051693
120,68,-0.12845768066407798
120,72,-0.23737304330914524
120,76,-0.05639269019349057
120,80,0.2086570262199372
120,84,0.20532784300261436
120,88,0.1362912897678733
120,92,0.2167601657701596
120,96,-0.11645353362915184
120,100,-0.09274496190550965
120,104,0.1953259440802512
120,108,-0.17003553268472318
120,112,0.09779343508403418
120,116,0.23871663325808218
120,120,-0.12385047556032214
120,124,-0.013665286521026498
124,0,0.21551850465959052
124,4,-0.18402396012289843
124,8,-0.18054186583532683
124,12,-0.1928949566551192
124,16,-0.05027834171041265
124,20,-0.09098403941255243
124,24,-0.19775046207976799
124,28,-0.09958920961735414
124,32,0.10756277890308216
124,36,0.23257118949594324
124,40,0.18234130113028327
124,44,0.09349558576763609
124,48,0.1071473810967552
124,52,0.18479981634432224
124,56,0.23227361986592943
124,60,0.2143288091296373
124,64,0.18674700937828936
124,68,0.2313470129587963
124,72,0.08556827917513483
