y,phi_A,phi_B
-25.0,-0.9999999999999991,0.0
-24.8999799959992,-0.999999999999999,2.6836879253629133e-10
-24.7999599919984,-0.9999999999999989,5.380911381494655e-10
-24.6999399879976,-0.9999999999999987,8.105360602843221e-10
-24.5999199839968,-0.9999999999999984,1.0871034112544508e-09
-24.499899979995998,-0.9999999999999982,1.3692390154231603e-09
-24.399879975995198,-0.9999999999999979,1.658449510002405e-09
-24.299859971994398,-0.9999999999999977,1.9563168198866295e-09
-24.199839967993597,-0.9999999999999972,2.264512232269529e-09
-24.099819963992797,-0.9999999999999969,2.584810070459662e-09
-23.999799959992,-0.9999999999999963,2.9191010026248164e-09
-23.8997799559912,-0.9999999999999958,3.2694050584000405e-09
-23.7997599519904,-0.9999999999999952,3.637884462683857e-09
-23.6997399479896,-0.9999999999999944,4.026856429967751e-09
-23.5997199439888,-0.9999999999999936,4.438806092885468e-09
-23.499699939987998,-0.9999999999999927,4.876399764333094e-09
-23.399679935987198,-0.9999999999999916,5.342498752858227e-09
-23.299659931986398,-0.9999999999999902,5.840173965781787e-09
-23.199639927985597,-0.9999999999999888,6.372721543802936e-09
-23.099619923984797,-0.999999999999987,6.943679775086345e-09
-22.999599919983996,-0.999999999999985,7.556847536768187e-09
-22.899579915983196,-0.9999999999999828,8.21630450839041e-09
-22.799559911982396,-0.9999999999999801,8.926433396078139e-09
-22.699539907981595,-0.9999999999999771,9.691944399479959e-09
-22.599519903980795,-0.9999999999999737,1.051790214676476e-08
-22.499499899979995,-0.9999999999999696,1.1409755317415792e-08
-22.399479895979194,-0.999999999999965,1.2373369169172406e-08
-22.299459891978394,-0.9999999999999597,1.3415061185077383e-08
-22.199439887977597,-0.9999999999999536,1.4541640059852291e-08
-22.099419883976793,-0.9999999999999466,1.5760448252218953e-08
-21.999399879975996,-0.9999999999999384,1.707940834160886e-08
-21.899379875975196,-0.9999999999999291,1.8507073444087974e-08
-21.799359871974396,-0.9999999999999183,2.0052681963272266e-08
-21.699339867973595,-0.9999999999999059,2.1726216977413475e-08
-21.599319863972795,-0.9999999999998915,2.353847059352129e-08
-21.499299859971995,-0.9999999999998751,2.5501113633146174e-08
-21.399279855971194,-0.9999999999998561,2.7626771052062307e-08
-21.299259851970394,-0.9999999999998342,2.992910353737278e-08
-21.199239847969594,-0.9999999999998092,3.242289577036664e-08
-21.099219843968793,-0.9999999999997801,3.5124151891711046e-08
-20.999199839967993,-0.9999999999997466,3.805019875726106e-08
-20.899179835967193,-0.9999999999997082,4.121979762799541e-08
-20.799159831966392,-0.9999999999996638,4.465326499650572e-08
-20.699139827965592,-0.9999999999996128,4.837260331533054e-08
-20.59911982396479,-0.9999999999995539,5.2401642459563086e-08
-20.499099819963995,-0.9999999999994862,5.676619282797774e-08
-20.39907981596319,-0.9999999999994081,6.149421106388715e-08
-20.299059811962394,-0.9999999999993182,6.661597945959261e-08
-20.19903980796159,-0.9999999999992146,7.216430019721484e-08
-20.099019803960793,-0.9999999999990953,7.817470567453338e-08
-19.998999799959993,-0.9999999999989578,8.468568626791019e-08
-19.898979795959193,-0.9999999999987994,9.1738936996168e-08
-19.798959791958392,-0.999999999998617,9.937962467022453e-08
-19.698939787957592,-0.9999999999984069,1.0765667724419125e-07
-19.59891978395679,-0.9999999999981649,1.16623097225422e-07
-19.49889977995599,-0.999999999997886,1.2633630115460253e-07
-19.39887977595519,-0.9999999999975648,1.3685848733342453e-07
